"entrezid","geneid","genbank","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"XP_015128702.1",101747947,"LOC101747947","XP_015128702.1",-0.618317888895214,-0.618491237153329,4.9863290514332,0.00303418346693213,0.588592187604744
"NP_001188328.1",395840,"AvBD2","NP_001188328.1",3.1678695317763,4.01144103194048,0.510241881601676,0.00317771629980102,0.595534491832812
"XP_015129108.1",101751023,"LOC101751023","XP_015129108.1",-0.628001569886012,-0.628370134866344,5.45718398152455,0.00321694601850993,0.595534491832812
"XP_015130249.1",107051085,"CYHR1","XP_015130249.1",0.546232430500479,0.546253681871486,7.22414343600983,0.0032578961529487,0.595534491832812
"XP_015130587.1",107051533,"LOC107051533","XP_015130587.1",-0.638917539370441,-0.639986092419584,3.47811932075326,0.00327651807496047,0.595534491832812
"XP_015134603.1",395139,"ST3GAL2","XP_015134603.1",1.14541503017864,1.16282861843521,2.69026689833898,0.00330915571956798,0.595534491832812
"XP_004947435.1",419388,"PRDM16","XP_004947435.1",1.18520980702018,1.18602212081082,3.3603293483875,0.00330918945050033,0.595534491832812
"XP_015144551.1",100857765,"NKX1-2","XP_015144551.1",1.02622997864902,1.02717139127283,1.49580373419635,0.0034132720727232,0.59844400341165
"XP_015153221.1",769687,"RUNX3","XP_015153221.1",2.72695409897003,3.05104449590201,0.426088464924107,0.00344414968591959,0.59844400341165
"XP_015128704.1",107049522,"TFE3","XP_015128704.1",-0.840528713804331,-0.843506306502035,2.73056284827023,0.00351210155117512,0.59844400341165
"XP_015135201.1",107052203,"IER5L","XP_015135201.1",-1.04293634723301,-1.05355948017234,3.62363823468063,0.00356985027953574,0.59844400341165
"XP_015148236.1",415893,"NISCH","XP_015148236.1",0.58487530414062,0.584964106094542,8.2763754858277,0.0035898476402442,0.59844400341165
"NP_006922.1",807638,"ND3","NP_006922.1",-2.96739541451885,-3.28125407399694,0.296014137630053,0.00359607038748602,0.59844400341165
"XP_015150496.1",768783,"BTN1","XP_015150496.1",-1.33487020459591,-1.33706772288345,2.89252333969506,0.00367904085004094,0.59844400341165
"NP_001001311.2",408039,"KRT14","NP_001001311.2",1.61962233545256,1.64252093821059,4.08277501891155,0.00369255173349205,0.59844400341165
"XP_004937733.1",769889,"APOLD1","XP_004937733.1",-1.75342968037179,-1.8205043910368,0.467583255845462,0.00371196427445981,0.59844400341165
"XP_015155883.1",776432,"RDH16","XP_015155883.1",-1.56532615730067,-1.59519010569961,1.08161519425715,0.00372600202967687,0.59844400341165
"NP_001026409.1",423926,"CACUL1","NP_001026409.1",1.68699586950383,1.69515409098816,2.65855833250474,0.00390327981557486,0.615359993463567
"NP_001186462.1",423656,"NRBF2","NP_001186462.1",0.570733428709404,0.570859806196293,4.97502121563999,0.00397604896507622,0.615359993463567
"XP_015143432.1",423563,"MDGA2","XP_015143432.1",1.09955034213729,1.10434965986654,5.41803876411525,0.00399510180639658,0.615359993463567
"XP_015129935.1",395763,"URP","XP_015129935.1",-0.667399603038262,-0.667825102102021,5.43366128818935,0.00399611162656263,0.615359993463567
"XP_015150044.1",418325,"TNFRSF1A","XP_015150044.1",-2.36034324606965,-2.47134517418262,0.379005852359144,0.00411414510271196,0.62707127958376
"XP_428503.3",430953,"ABRA","XP_428503.3",-1.88133317165964,-1.91388907650912,-0.354071909054598,0.00419442139847991,0.632849216455499
"NP_001026157.1",420628,"SNX10","NP_001026157.1",-0.687694765952003,-0.688950991617452,5.46631815750055,0.00435530268500566,0.650551562059296
"NP_990411.1",395963,"CAPN2","NP_990411.1",1.24202214326942,1.24216479283325,8.22975982691183,0.00461680517566156,0.680958354604419
"NP_990510.1",396092,"ALCAM","NP_990510.1",0.653785997078642,0.654074579895555,6.96312515545104,0.00470309950546086,0.680958354604419
"XP_015129129.1",107049850,"SCYL1","XP_015129129.1",-0.855220580868849,-0.859388434673099,2.57697617657208,0.00471934637847521,0.680958354604419
"NP_001092080.1",100049617,"FAAP100","NP_001092080.1",-0.583480170859947,-0.584264839896592,4.97382399571014,0.00474122440107515,0.680958354604419
"NP_001026630.1",427549,"CEBPA","NP_001026630.1",-1.29366188356918,-1.30959577955904,3.81600894045577,0.00500509962438201,0.712011172279943
"XP_015150483.1",396106,"TN","XP_015150483.1",-1.59647779586827,-1.61264311633832,1.80810311445564,0.00522180823240716,0.72096731426068
"XP_015128062.1",426418,"RP11-762I7.5","XP_015128062.1",-0.926478156833644,-0.929312807745563,3.97613315416274,0.00523023459904381,0.72096731426068
"XP_015129725.1",107050508,"NUDT18","XP_015129725.1",-1.06112391231801,-1.07069346073585,3.03194263339202,0.00525851554600589,0.72096731426068
"XP_422716.3",424905,"MB21D2","XP_422716.3",0.569334181555168,0.57020270272822,4.63088939290974,0.00526112587898602,0.72096731426068
"XP_015130489.1",107051396,"LOC107051396","XP_015130489.1",-1.48631485571828,-1.52964477938279,0.779522018197243,0.00556778009692859,0.756053920980203
"XP_015154126.1",425062,"RUSC1","XP_015154126.1",-0.688856925028756,-0.691178175629497,5.00609462564885,0.0056500012566388,0.757178044557167
"XP_001231894.1",769122,"B3GALT2","XP_001231894.1",1.50093481139176,1.56884580861483,4.74519132207708,0.00567744131956904,0.757178044557167
"XP_004947593.1",100859829,"ZNF362","XP_004947593.1",-0.496947519599213,-0.497157255358178,5.17075524732123,0.00578916989138966,0.765246289094579
"NP_001006414.1",421895,"FBXO9","NP_001006414.1",0.47750330521451,0.477588607548327,6.98173403249352,0.00596652594667407,0.767118083404536
"XP_003642533.1",771598,"NPBWR2","XP_003642533.1",1.55551354962298,1.61920104604758,6.12010025966345,0.00600248546753439,0.767118083404536
"NP_001161175.1",396288,"GABRQ","NP_001161175.1",-3.61141294766883,-144269481.725435,3.72608516163833,0.0060125846594221,0.767118083404536
"XP_422072.4",424222,"XRCC5","XP_422072.4",0.617958572313409,0.618770758896516,4.88037809177619,0.00606117223322445,0.767118083404536
"XP_015128673.1",101747902,"LOC101747902","XP_015128673.1",-1.85915367691028,-1.97607888604931,1.24542489932483,0.00610858760990427,0.767118083404536
"XP_015147184.1",425000,"GOLIM4","XP_015147184.1",-5.06718626934619,-144269483.260512,0.258979655001579,0.00612691228517,0.767118083404536
"XP_004936151.1",422781,"APBB2","XP_004936151.1",1.57761823989241,1.58428258263657,0.505222854992126,0.00616449730260609,0.767118083404536
"XP_015135487.1",395547,"TMOD4","XP_015135487.1",-1.5970457946312,-1.64663607233785,1.96128302301364,0.0062141854516937,0.767118083404536
"XP_015130504.1",107051419,"LOC107051419","XP_015130504.1",-0.77602793612509,-0.779939333209952,3.52526698104223,0.00640510353119322,0.782466105091933
"XP_015129797.1",431512,"FKRP","XP_015129797.1",-0.766697580973934,-0.767326557253679,4.28319259753471,0.0064432838539404,0.782466105091933
"XP_004937103.1",424802,"NYAP2","XP_004937103.1",1.04976452497471,1.06485256739385,4.51185519404184,0.00652745082369782,0.786294620593341
"XP_015129929.1",418784,"MBNL2","XP_015129929.1",-0.891505804697802,-0.895869066247291,6.12103550020725,0.00663783494335523,0.793194724391177
"NP_001186255.1",769400,"KCTD4","NP_001186255.1",-3.49049805252125,-144269481.591704,3.40841010068736,0.00689012081253822,0.814929973589014
"XP_015146419.1",374083,"DAB1","XP_015146419.1",0.731276251324145,0.731756830306083,4.18974135503974,0.00697831767803199,0.814929973589014
"XP_004948993.1",420145,"C19ORF44","XP_004948993.1",0.567348302117528,0.567468020677135,4.52256213521966,0.00698339938537817,0.814929973589014
"NP_989938.1",395309,"IKZF2","NP_989938.1",0.633596379386672,0.634277232979094,3.674536892328,0.00716326712003184,0.825068084585211
"XP_015155916.1",426516,"HNRPK","XP_015155916.1",2.86640682490138,3.69061654923462,-1.31910625494754,0.00718074921310018,0.825068084585211
"NP_996788.1",404269,"CG-16","NP_996788.1",1.4836516296616,1.53411824564202,2.70057395657377,0.00729990475380422,0.830819245855129
"XP_015153316.1",430477,"COL16A1","XP_015153316.1",-2.70346752751973,-3.18836531976884,-0.352861639285389,0.00734204595654261,0.830819245855129
"XP_004938505.2",101747500,"LOC101747500","XP_004938505.2",-3.56329361726639,-144269481.676161,-1.11270111948995,0.00742672618548615,0.831025344250952
"XP_001232694.1",107048987,"LOC107048987","XP_001232694.1",1.15576207470773,1.16614761622297,3.89144261382032,0.00745513798819225,0.831025344250952
"XP_015128616.1",107049485,"LOC107049485","XP_015128616.1",-0.697191496569389,-0.698617552635363,3.56771042052457,0.00765487013335279,0.84696885319919
"XP_003642211.1",100858938,"ARHGDIG","XP_003642211.1",-1.03972895090831,-1.04975401488113,4.52494509392961,0.00791696231352857,0.858538812964234
"XP_015150383.1",100859584,"LOC100859584","XP_015150383.1",-0.771821645384518,-0.773815343024749,3.09065976608355,0.00794051100423997,0.858538812964234
"NP_001264444.1",417018,"NIPSNAP1","NP_001264444.1",-0.686024534962957,-0.687814556435567,4.12838581998292,0.00794552634802501,0.858538812964234
"XP_001234111.1",770783,"FAM167B","XP_001234111.1",-2.64709435339504,-3.13133378622842,-0.278138623932506,0.00798934826283916,0.858538812964234
"XP_015138234.1",426446,"ADHFE1","XP_015138234.1",-0.744818069642383,-0.745689275164525,4.88879581597445,0.00806811587068965,0.86081033400351
"XP_015140679.1",422013,"ADCY3","XP_015140679.1",-0.756072467562758,-0.759039441225319,4.31409507306251,0.00821566432883264,0.867468805520724
