"TXPID","ENTREZID","GENEBANKID","GENENAME","logFC","logCPM","F","PValue","FDR"
"RockDoveHPG_Transcript_7880",777191,"XM_015273087.1","SUB1L2",777191,2.84329131152646,4.73587955903788,37.5875542634928,5.57378391035573e-08,1.71786295131005e-05
"RockDoveHPG_Transcript_11259",427185,"NM_001039603.1","annotated by transcript or proteomic data",427185,0.962893331345161,6.54871518769267,37.1812550904724,6.06329826007974e-08,1.83135860647448e-05
"RockDoveHPG_Transcript_12274",427136,"XM_015277570.1","DHX29",427136,-1.09364833040421,6.32245872427155,37.0711765624583,6.28713580609598e-08,1.86173186164042e-05
"RockDoveHPG_Transcript_17406",427160,"XM_424749.5","ADAMTS6",427160,-1.26110680990688,4.40789997013749,36.2214125532616,8.32898415863568e-08,2.41892920699454e-05
"RockDoveHPG_Transcript_9299",423474,"XR_001466917.1","LOC423474",423474,1.35141834500676,7.10937350805809,36.1223366270416,8.60800465586947e-08,2.43521962804853e-05
"RockDoveHPG_Transcript_31057",427453,"XM_425027.5","IDNK",427453,-1.37210407395232,4.692887622317,36.0696665200263,8.76024234013627e-08,2.43521962804853e-05
"RockDoveHPG_Transcript_17538",395203,"NM_204530.1","annotated by transcript or proteomic data",395203,1.40529977487062,6.33821699409851,36.0326714830646,8.86883058817835e-08,2.43521962804853e-05
"RockDoveHPG_Transcript_52315",419374,"XM_417536.5","RNF207",419374,2.61396398618935,1.25883847780507,35.8139487030918,9.53982152425521e-08,2.57268544034468e-05
"RockDoveHPG_Transcript_11287",431608,"XM_015280318.1","SMC5",431608,-1.39987863387784,6.50265690376686,35.7255761660553,9.82558057556118e-08,2.60326171670395e-05
"RockDoveHPG_Transcript_32560",424835,"XM_015277074.1","TRPM2",424835,2.35440433027668,2.12582317875784,35.5997402726847,1.02477959394247e-07,2.62981931273976e-05
"RockDoveHPG_Transcript_78782",107056508,"XM_015301537.1","annotated by transcript or proteomic data",107056508,6.9595885200863,0.882383783106823,41.159244072816,1.03651685799665e-07,2.62981931273976e-05
"RockDoveHPG_Transcript_20139",404304,"NM_206983.1","annotated by transcript or proteomic data",404304,1.47341024948117,4.5777269987567,35.5176220799047,1.05333754290973e-07,2.62981931273976e-05
"RockDoveHPG_Transcript_5684",404778,"XM_015280600.1","RAD17",404778,-0.86891037253953,6.1370539866276,35.4925013659067,1.06223664466379e-07,2.62981931273976e-05
"RockDoveHPG_Transcript_18630",374143,"XM_015276625.1","KCND2",374143,-1.54505488733653,4.51413070538616,35.270624534141,1.14428506538119e-07,2.7872569447398e-05
"RockDoveHPG_Transcript_16274",427163,"XM_424751.5","PPWD1",427163,-1.23172748434434,5.66102235930329,35.1828465189611,1.17852424761893e-07,2.82509098214939e-05
"RockDoveHPG_Transcript_11140",101751744,"XM_004951107.2","unclassified transcription discrepancy",101751744,-0.894023628224488,5.2294957873277,35.0572193527759,1.22937528682914e-07,2.90094149713964e-05
"RockDoveHPG_Transcript_1577",427385,"XM_015280682.1","DMXL1",427385,-1.01250185034938,6.63069999345587,34.9821508912189,1.26083622048565e-07,2.92940747719604e-05
"RockDoveHPG_Transcript_11316",431595,"XM_004937357.2","FAM169A",431595,-0.855899369426664,5.8995574825402,34.6909267648624,1.39096049960137e-07,3.17480367172258e-05
"RockDoveHPG_Transcript_30896",430492,"XM_004949617.2","TDRD7",430492,-0.913962866199477,7.09250489465983,34.6538343786984,1.4085011654444e-07,3.17480367172258e-05
"RockDoveHPG_Transcript_19526",427364,"XM_424940.5","CAAP1",427364,-1.18249125643731,4.77414445844754,34.4528269115526,1.50760443314212e-07,3.34821208078122e-05
"RockDoveHPG_Transcript_11894",427156,"XM_015277308.1","KIF2A",427156,-0.943364294321495,6.31327913033346,33.7252241763287,1.93067559090615e-07,4.22566127157458e-05
"RockDoveHPG_Transcript_14203",427376,"NM_001012945.1","70601481",427376,-0.89556546402246,8.13348717615208,33.6645674468104,1.97107108625046e-07,4.2524450777935e-05
"RockDoveHPG_Transcript_11731",427299,"XM_015280499.1","RP11-598P20.5",427299,-1.04979852718131,6.57098377432239,33.3119886852082,2.22377957688714e-07,4.73007312255628e-05
"RockDoveHPG_Transcript_71739",100857781,"XM_003643119.3","annotated by transcript or proteomic data",100857781,2.60189916312363,1.29249407427399,32.8581320802364,2.59910323431034e-07,5.45161903396593e-05
"RockDoveHPG_Transcript_83685",418424,"XM_015296269.1","LOC418424",418424,3.81058732065584,-0.556486355263112,32.4753855630247,2.96621351824607e-07,6.13640500719892e-05
"RockDoveHPG_Transcript_11580",416208,"XM_414534.5","STC2",416208,3.85116334390804,3.32676527571453,32.361233151154,3.10533791204072e-07,6.33740718211337e-05
"RockDoveHPG_Transcript_11976",416384,"XM_015277411.1","KATNAL2",416384,-1.19058394382359,5.32591094066918,32.106067518547,3.37128370471277e-07,6.69914409599748e-05
"RockDoveHPG_Transcript_18821",395751,"XM_015280245.1","TJP2",395751,-0.99873873299303,8.06684217336682,32.0704973591931,3.41319795711962e-07,6.69914409599748e-05
"RockDoveHPG_Transcript_18883",427231,"XM_004949080.2","KDM4C",427231,-0.794362854946301,5.6201992015557,32.0684157384917,3.41566743074961e-07,6.69914409599748e-05
"RockDoveHPG_Transcript_17039",427243,"XM_015280281.1","PIP5K1B",427243,-1.44943851591113,4.3613652735938,31.9671618797685,3.5380397562741e-07,6.77923010961079e-05
"RockDoveHPG_Transcript_30215",100858468,"XM_003642463.3","PDYN",100858468,2.92557513839401,4.43393508973986,32.0916703336877,3.54627982160808e-07,6.77923010961079e-05
"RockDoveHPG_Transcript_31769",427440,"XM_015277529.1","CZH5ORF42",427440,-1.2662879498868,6.1900693236428,31.6560458915487,3.94312806720496e-07,7.44364000886616e-05
"RockDoveHPG_Transcript_50123",101750503,"XR_210466.2","LOC101750503",101750503,3.1028850451723,0.439691608647955,31.6197031566789,3.99347335880923e-07,7.44560921786877e-05
"RockDoveHPG_Transcript_48709",424379,"NM_001277527.1","annotated by transcript or proteomic data",424379,3.64899516580588,1.3131197251691,31.5194874491945,4.14066239598124e-07,7.48904017427041e-05
"RockDoveHPG_Transcript_18420",416366,"XM_003642957.3","WDR41",416366,-1.03423837086041,4.76664801480696,31.5137773845158,4.1440287047483e-07,7.48904017427041e-05
"RockDoveHPG_Transcript_12399",418413,"NM_001006255.2","HJURP",418413,3.28910024970783,6.06104564216411,31.6355167230056,4.16553684703162e-07,7.48904017427041e-05
"RockDoveHPG_Transcript_28825",427180,"XM_430486.5","LOC427180",427180,3.25203092461294,2.7419958310052,31.3651304622114,4.36524316527421e-07,7.73972468216769e-05
"RockDoveHPG_Transcript_1176",427291,"XM_424873.5","GAK",427291,-1.03943042592747,6.31660662307937,31.3085884963758,4.45255483435183e-07,7.73972468216769e-05
"RockDoveHPG_Transcript_21831",107056084,"XR_001470837.1","LOC107056084",107056084,2.81978039973971,1.97153337762253,31.3046386925302,4.45872101277042e-07,7.73972468216769e-05
