 Name	ovary	testes	pituitary	hypothalamus
 RockDoveHPG_Transcript_10281 	1	1	1	1
 RockDoveHPG_Transcript_10282 	1	1	1	1
 RockDoveHPG_Transcript_10283 	0	0	1	1
 RockDoveHPG_Transcript_10284 	0	0	1	1
 RockDoveHPG_Transcript_10285 	0	1	1	0
 RockDoveHPG_Transcript_10288 	1	1	1	1
 RockDoveHPG_Transcript_10289 	1	1	1	1
 RockDoveHPG_Transcript_10292 	1	1	1	1
 RockDoveHPG_Transcript_10293 	1	1	1	1
 RockDoveHPG_Transcript_10294 	1	1	1	1
 RockDoveHPG_Transcript_10295 	1	1	1	1
 RockDoveHPG_Transcript_10296 	1	1	1	1
 RockDoveHPG_Transcript_10297 	0	1	0	0
 RockDoveHPG_Transcript_10300 	1	1	1	1
 RockDoveHPG_Transcript_10301 	1	1	1	1
 RockDoveHPG_Transcript_10302 	1	1	1	1
 RockDoveHPG_Transcript_10303 	1	1	0	0
 RockDoveHPG_Transcript_10304 	0	0	1	1
 RockDoveHPG_Transcript_10305 	1	1	1	1
 RockDoveHPG_Transcript_10306 	1	1	1	1
 RockDoveHPG_Transcript_10308 	1	1	1	1
 RockDoveHPG_Transcript_10309 	1	1	1	1
 RockDoveHPG_Transcript_1031 	1	1	0	0
 RockDoveHPG_Transcript_10310 	1	1	1	1
 RockDoveHPG_Transcript_10312 	1	1	1	1
 RockDoveHPG_Transcript_10313 	1	0	1	1
 RockDoveHPG_Transcript_10314 	1	1	1	1
 RockDoveHPG_Transcript_10316 	1	1	1	1
 RockDoveHPG_Transcript_10317 	1	1	0	0
 RockDoveHPG_Transcript_10319 	1	1	1	1
 RockDoveHPG_Transcript_10320 	1	1	1	1
 RockDoveHPG_Transcript_10321 	1	1	1	1
 RockDoveHPG_Transcript_10322 	1	1	1	1
 RockDoveHPG_Transcript_10323 	1	1	1	1
 RockDoveHPG_Transcript_10324 	1	1	1	1
 RockDoveHPG_Transcript_10326 	1	1	1	1
 RockDoveHPG_Transcript_10327 	1	1	1	1
 RockDoveHPG_Transcript_10329 	1	1	0	1
 RockDoveHPG_Transcript_1033 	1	0	1	1
 RockDoveHPG_Transcript_10331 	0	1	0	0
 RockDoveHPG_Transcript_10332 	1	1	1	1
 RockDoveHPG_Transcript_10333 	1	1	1	1
 RockDoveHPG_Transcript_10334 	1	1	1	1
 RockDoveHPG_Transcript_10335 	1	1	1	1
 RockDoveHPG_Transcript_10336 	1	0	0	0
 RockDoveHPG_Transcript_10337 	0	0	1	1
 RockDoveHPG_Transcript_10338 	0	0	1	0
 RockDoveHPG_Transcript_10339 	1	1	1	1
 RockDoveHPG_Transcript_1034 	1	1	1	1
 RockDoveHPG_Transcript_10341 	1	1	1	1
 RockDoveHPG_Transcript_10343 	1	1	1	1
 RockDoveHPG_Transcript_10344 	1	1	1	1
 RockDoveHPG_Transcript_10345 	1	1	1	1
 RockDoveHPG_Transcript_10346 	1	1	1	1
 RockDoveHPG_Transcript_10347 	1	1	1	1
 RockDoveHPG_Transcript_10348 	1	1	1	1
 RockDoveHPG_Transcript_10349 	1	1	1	1
 RockDoveHPG_Transcript_1035 	1	1	1	1
 RockDoveHPG_Transcript_10350 	1	1	1	1
 RockDoveHPG_Transcript_10351 	1	1	1	1
 RockDoveHPG_Transcript_10353 	1	1	1	1
 RockDoveHPG_Transcript_10355 	1	1	0	0
 RockDoveHPG_Transcript_10356 	1	1	1	1
 RockDoveHPG_Transcript_10357 	1	1	1	1
 RockDoveHPG_Transcript_10358 	1	1	1	1
 RockDoveHPG_Transcript_1036 	1	1	1	1
 RockDoveHPG_Transcript_10360 	1	1	1	1
 RockDoveHPG_Transcript_10361 	1	1	1	1
 RockDoveHPG_Transcript_10362 	1	1	1	1
 RockDoveHPG_Transcript_10364 	1	1	1	1
 RockDoveHPG_Transcript_10365 	0	0	1	1
 RockDoveHPG_Transcript_10366 	1	1	1	1
 RockDoveHPG_Transcript_10368 	1	0	1	1
 RockDoveHPG_Transcript_10369 	1	1	1	1
 RockDoveHPG_Transcript_10370 	1	1	1	1
 RockDoveHPG_Transcript_10371 	1	1	1	1
 RockDoveHPG_Transcript_10372 	1	1	1	1
 RockDoveHPG_Transcript_10373 	1	1	1	1
 RockDoveHPG_Transcript_10375 	1	1	1	1
 RockDoveHPG_Transcript_10376 	1	1	1	1
 RockDoveHPG_Transcript_10378 	1	0	1	1
 RockDoveHPG_Transcript_10379 	1	1	1	1
 RockDoveHPG_Transcript_1038 	1	1	1	1
 RockDoveHPG_Transcript_10380 	1	1	0	0
 RockDoveHPG_Transcript_10382 	1	1	0	0
 RockDoveHPG_Transcript_10384 	1	1	1	1
 RockDoveHPG_Transcript_10385 	1	1	1	1
 RockDoveHPG_Transcript_10386 	1	1	1	1
