"genes","logFC","logCPM","F","PValue","FDR"
"6322","XM_015284081.1",-0.99806582964325,5.96593242723294,16.0996106829024,0.000154444954791624,0.0578770308803581
"6549","XM_015284972.1",-0.894416528861514,6.04178668831992,16.0465743733465,0.000157966344423786,0.0578770308803581
"14795","XR_001470677.1",-1.45904906750056,4.46055044581186,16.0024234913554,0.000160961150640646,0.0578770308803581
"5608","NM_001030994.1",-0.503887561317524,7.53724589004355,15.7648755540812,0.000178114607743405,0.0605822223635229
"3935","XM_416677.5",1.31751299901973,5.58950823311543,15.69313007987,0.000183898278503122,0.0605822223635229
"3637","NM_001195795.1",-3.04572390529315,0.940829433768468,15.682972821907,0.000184458802836149,0.0605822223635229
"9000","XM_015283574.1",1.3101267945226,3.31892946136013,15.5493478459353,0.000195316454694062,0.0605822223635229
"9164","XM_015294600.1",0.895308968415663,6.55725939848986,15.4000911378358,0.000208230422103756,0.0605822223635229
"13697","XM_015274942.1",1.95972769837028,5.46123632639862,15.4329452152797,0.000208504243141485,0.0605822223635229
"5505","NM_001199617.1",-1.40615070917846,6.08439016115322,15.399193268148,0.00020968312391669,0.0605822223635229
"10666","XM_428411.3",2.27700713443966,0.496925337219002,15.3701627915083,0.000210924617623448,0.0605822223635229
"4534","XM_015296388.1",3.28531294649747,-0.107880378764772,15.3246870742657,0.000215087726077388,0.0605822223635229
"6878","XM_004940931.2",1.44476560078448,7.33201241375617,15.3231037596122,0.000217877263250143,0.0605822223635229
"10853","XM_015286831.1",1.24831685574921,3.99867905604038,15.2404586062366,0.000223024817463716,0.0605822223635229
"1120","XM_004942887.2",-1.61615450256305,8.14163169591155,15.2200758941453,0.000227802600622624,0.0605822223635229
"149","XR_001469910.1",-0.533937625435335,6.50233744660208,15.1871940597392,0.000228200148582746,0.0605822223635229
"8499","NM_001271932.1",-1.53971411482368,9.71549120359452,15.1244606366987,0.000234705274771049,0.0605822223635229
"14361","XR_001467669.1",-2.47286818381562,1.63038958312478,15.0738116530117,0.000239635226303559,0.0605822223635229
"10950","XM_001231595.4",-1.09729394042611,5.35885014558636,15.0446038950048,0.000242676026224404,0.0605822223635229
"8142","XM_015289573.1",2.0291313420756,2.82628415956822,15.043668454715,0.000242774072368801,0.0605822223635229
"2574","XM_015294217.1",-0.931012578278465,5.21109439336959,15.0423660043293,0.000242910654237798,0.0605822223635229
"11399","NM_001302172.1",-1.03825248880323,5.27507359198394,15.0253372841779,0.0002447037189892,0.0605822223635229
"3656","XM_015287414.1",1.33504083559293,1.56230114832822,14.9181933728059,0.000256304705625368,0.061568820153221
"10670","XM_015292009.1",-0.839688324361702,6.93261942606313,14.869529058415,0.000261760624106237,0.061568820153221
"4436","XM_004946840.2",1.31752456581664,5.11017370776678,14.8363688602971,0.000265795755730475,0.061568820153221
"14771","XR_001470602.1",-1.4846669306681,4.24243400532015,14.8035028242681,0.000269356117405907,0.061568820153221
"14138","XR_001465929.1",1.42314500089755,3.41325783231013,14.7610751969293,0.000274357098374015,0.061568820153221
"6281","NM_001044648.1",-0.918113181602916,5.34735144054935,14.7364127459867,0.000277308210235133,0.061568820153221
"12711","XR_210807.2",-0.911395261947947,3.20336039102636,14.7225961954736,0.000278975858206889,0.061568820153221
"2779","NM_001006190.1",-0.512134729805003,6.65689225868594,14.6869442586867,0.000283327203848356,0.061568820153221
"1471","XM_015295691.1",0.902537305807916,5.11947681091402,14.6545481433147,0.000287342171489689,0.061568820153221
"4122","NM_001030812.1",-0.823944814302323,5.79043791585882,14.6083624632166,0.000293168353694028,0.061568820153221
"2164","NM_001277862.1",-1.08826849996034,4.35780334562371,14.6054933089523,0.000293534303471852,0.061568820153221
"7595","XM_015287449.1",-0.491845569826516,6.06348461291223,14.4681901924879,0.000311612017819818,0.0643882991401551
"7664","XM_430057.5",-2.25988290437672,1.63555087556025,14.3921434258534,0.000322117423012306,0.0643882991401551
"6954","XM_015276575.1",-0.906118831709127,5.89927648846453,14.3806825898657,0.000323732218374587,0.0643882991401551
"8537","XM_015291214.1",-0.763197522054338,5.152853403061,14.3785710586996,0.000324030640620566,0.0643882991401551
"1293","NM_205317.1",1.30421315950987,7.46877646746077,14.3661973207247,0.000328574550293008,0.0644432838769482
"4419","XM_417279.5",-1.01719509716704,6.30461247792154,14.3135121322467,0.000333392979174854,0.0645500098910082
"3399","NM_001277355.1",-1.05327037637263,4.16301971333912,14.2669687553854,0.000340216245438319,0.0650372878304999
"12051","XM_004943699.2",1.51964131668131,1.17311796913557,14.1908765921849,0.000351730542358058,0.0663979331336425
"59","XM_015275131.1",-0.726739936873646,7.50542281675682,14.1170134818221,0.000363294299139759,0.0677342037729462
"162","XM_015284736.1",-1.5857796826595,3.96371678447434,14.0822804818614,0.000368867553777781,0.0679346072823421
