"rockdoveid","entrezid","genbankid","name","geneid","logFC","logCPM","F","PValue","FDR"
"10427","RockDoveHPG_Transcript_23562",420705,"XM_015281738.1","ZDHHC3",420705,0.76444262952592,6.56613691472929,20.6758446173957,1.11950083504188e-05,0.00878401064295135
"7677","RockDoveHPG_Transcript_44697",417158,"NM_001004379.1","7344692",417158,1.57384510081948,8.70404007730211,20.5656926168268,1.17886768073875e-05,0.00884765821952705
"3386","RockDoveHPG_Transcript_55945",107053889,"XR_001467669.1","LOC107053889",107053889,2.19726091474663,1.59124270733284,20.2489251318907,1.36190525966498e-05,0.0097955035801404
"13483","RockDoveHPG_Transcript_3738",424638,"NM_001031285.1","annotated",424638,0.957113553381099,7.20418407032683,19.9860925112263,1.53707475509882e-05,0.0104841094753819
"760","RockDoveHPG_Transcript_38578",100859762,"XM_015287251.1","TIMM9",100859762,1.42746383686992,4.01586242202333,19.8846520794134,1.6106652182029e-05,0.0104841094753819
"13708","RockDoveHPG_Transcript_18012",424932,"XM_015291499.1","PDE6D",424932,0.998522283220353,7.05763804256659,19.7990760235138,1.67552915408637e-05,0.0104841094753819
"12983","RockDoveHPG_Transcript_23853",424015,"XM_015289164.1","UBE2F",424015,0.904962221581648,5.40173429004597,19.766917957517,1.70058547856966e-05,0.0104841094753819
"4439","RockDoveHPG_Transcript_23068",107057325,"XM_015302367.1","LOC107057325",107057325,-3.67641020664887,5.33411340402781,19.6821266011287,1.8023919135266e-05,0.0105234692429276
"13365","RockDoveHPG_Transcript_13592",424493,"XM_015290708.1","DNTTIP2",424493,0.968872513096054,6.3656373392171,19.5257492829314,1.90106349375705e-05,0.0105234692429276
"1769","RockDoveHPG_Transcript_47607",102723171,"NR_110376.1","RN7SL1",102723171,4.74144920931864,2.95120498934316,19.521420442837,1.91989463968935e-05,0.0105234692429276
"17109","RockDoveHPG_Transcript_16302",772260,"NM_001198782.1","annotated",772260,1.1442140325511,6.90814627774574,19.4699006503941,1.95082270752915e-05,0.0105234692429276
"8987","RockDoveHPG_Transcript_27557",418830,"XM_004938664.2","MTRF1",418830,0.976300926335596,5.02258979015552,19.3212772719415,2.08979674182525e-05,0.010578456821117
"5911","RockDoveHPG_Transcript_41271",396256,"NM_001271964.1","CALCA",396256,1.87527685249107,3.655639474676,19.2765380231536,2.1335733144352e-05,0.010578456821117
"11177","RockDoveHPG_Transcript_5002",421666,"XM_004935678.2","RP3-468K18.7",421666,0.848310246443742,6.85666659169283,19.2651530705655,2.14486148035625e-05,0.010578456821117
"11247","RockDoveHPG_Transcript_1337",421755,"NM_001012569.1","annotated",421755,1.17426420923109,7.23473919527223,19.1285010111492,2.2851909881749e-05,0.0107279540238061
"16670","RockDoveHPG_Transcript_61039",770704,"NM_001302172.1","annotated",770704,1.39888098051445,5.21250667338756,19.1150789031277,2.29946876886124e-05,0.0107279540238061
"9446","RockDoveHPG_Transcript_16242",419415,"NM_001030872.2","annotated",419415,0.835399264958825,5.3614256660196,18.9025145055945,2.5380841986975e-05,0.0114112024415928
"13623","RockDoveHPG_Transcript_36171",424824,"XM_015277053.1","MRPS22",424824,0.986209511110357,6.32331602383641,18.8688439194253,2.5781305481527e-05,0.0114112024415928
"11243","RockDoveHPG_Transcript_10578",421750,"XM_419781.5","TUBE1",421750,0.966096954701992,4.31741638357419,18.8012956058601,2.66041972326048e-05,0.0114810413157306
"5447","RockDoveHPG_Transcript_59963",395713,"XM_015285086.1","TFAP2B",395713,2.70384156269503,0.320071150549742,18.6919740227175,2.79930354141939e-05,0.011785750666337
"3284","NODE_225894_length_196_cov_1.85816",107053637,"XR_001467049.1","LOC107053637",107053637,4.34979496167015,0.606173283551118,18.3833302597271,3.23965421996206e-05,0.0133149788440441
"10106","RockDoveHPG_Transcript_36534",420288,"NM_001030951.1","EIF3H",420288,0.719159075989317,7.51947574630055,18.3062375966895,3.3511065051874e-05,0.0134527443005918
"6980","RockDoveHPG_Transcript_38486",416228,"XM_414551.5","NOP16",416228,1.12417745699875,5.08643177234267,18.2205426797409,3.48804005116881e-05,0.0136842153098355
"16618","RockDoveHPG_Transcript_23783",770496,"XM_001232873.4","RP5-864K19.6",770496,1.4755462613707,5.38699325085681,18.0875838280704,3.7153141423145e-05,0.0142519450499184
"8477","RockDoveHPG_Transcript_12611",418191,"NM_001277276.1","annotated",418191,1.59660163770859,6.2166715047658,17.9587674356828,3.95406487679375e-05,0.0148380582398291
"5893","RockDoveHPG_Transcript_13240",396236,"NM_205299.2","annotated",396236,0.972397253308014,7.97781917412876,17.8553436182875,4.13852299445479e-05,0.0149272623370958
"3825","RockDoveHPG_Transcript_72801",107055032,"XR_001469953.1","LOC107055032",107055032,3.03719287353797,-0.133861734362727,17.8348280877769,4.17853500062009e-05,0.0149272623370958
"15385","RockDoveHPG_Transcript_10526",428685,"XM_426243.5","CDR2L",428685,-1.56073750417613,4.64801537361519,17.7926189441453,4.26209997386308e-05,0.0149272623370958
"14847","RockDoveHPG_Transcript_29397",427708,"NM_001277879.1","annotated",427708,1.14404921651546,6.59927873961628,17.7618812248822,4.32402306381427e-05,0.0149272623370958
"16707","RockDoveHPG_Transcript_20578",770817,"XM_001234139.4","DTD2",770817,1.18267114010907,4.44088993101194,17.7198373397478,4.41020958864493e-05,0.0149272623370958
"3805","RockDoveHPG_Transcript_70223",107054980,"XM_015297467.1","BOLA3",107054980,1.53909607204031,3.56969442849062,17.5822963630003,4.70457441362437e-05,0.0154492835253897
"10873","RockDoveHPG_Transcript_15348",421281,"NM_001316891.1","annotated",421281,0.753538262352316,9.26575500264703,17.5450816403946,4.78760778947557e-05,0.0154492835253897
"9574","RockDoveHPG_Transcript_12967",419590,"NM_001030895.2","annotated",419590,1.02301570574645,5.5314452115963,17.5250425929167,4.83293540940239e-05,0.0154492835253897
"8838","RockDoveHPG_Transcript_14997",418641,"XM_004938399.2","MSL3",418641,0.602531092232412,6.43708138027517,17.456414115724,4.99150844025546e-05,0.015666076126489
"5719","RockDoveHPG_Transcript_25476",396031,"XM_004942887.2","SMARCAL1",396031,1.53863042588155,8.08069772274858,17.0257286151437,6.12898041925318e-05,0.0188925821423479
"9211","RockDoveHPG_Transcript_38552",419108,"NM_001278097.1","ATP5C1",419108,0.837832954258732,7.76301517756052,16.9757912948964,6.26118518130602e-05,0.018961505017492
"12261","RockDoveHPG_Transcript_20868",423090,"XM_015286679.1","KCNQ1",423090,1.25775621077306,3.24604875847913,16.4900701410347,7.88037394955435e-05,0.0234536232960702
"8203","RockDoveHPG_Transcript_21524",417846,"NM_001012533.2","annotated",417846,0.9512663417827,7.81968457738841,16.4026115083453,8.21445511526777e-05,0.0240335464745343
