"rockdoveid","entrezid","genbankid","name","geneid","logFC","logCPM","F","PValue","FDR"
"9678","RockDoveHPG_Transcript_15858",419725,"XM_015298112.1","TMEM45B",419725,-2.42600881190412,2.45299816372298,31.3688747147333,1.00182972570388e-07,2.93111605510176e-05
"10698","RockDoveHPG_Transcript_31459",421045,"NM_001031014.1","annotated",421045,1.59738585385844,5.49386028948862,31.0600570548366,1.14257071990715e-07,3.28717596117287e-05
"4439","RockDoveHPG_Transcript_23068",107057325,"XM_015302367.1","LOC107057325",107057325,-4.6262669099918,5.33411340402781,31.0134576625067,1.21512903057273e-07,3.36998650366003e-05
"8372","RockDoveHPG_Transcript_13564",418068,"XM_015285437.1","C1H12ORF23",418068,0.999079893543214,5.34284501509008,30.8974261035544,1.22459750453407e-07,3.36998650366003e-05
"9999","RockDoveHPG_Transcript_33762",420152,"XM_004948948.2","ZNRF4",420152,4.28072712640162,6.97964012331912,30.9197517553862,1.22992208162775e-07,3.36998650366003e-05
"6464","RockDoveHPG_Transcript_15797",415545,"XM_004943899.2","MEGF11",415545,1.7808883101631,4.25041037722857,30.8026797627667,1.27511619060662e-07,3.43922745035179e-05
"16256","RockDoveHPG_Transcript_20997",769290,"XM_015286412.1","OVCH2",769290,-3.08576257128793,3.74887557888292,30.7729813486049,1.29935702459844e-07,3.45069245517204e-05
"11119","RockDoveHPG_Transcript_1328",421598,"XM_015286328.1","KIAA1549L",421598,1.52610907203286,5.60887101697704,30.5139947164028,1.44247821240793e-07,3.77273619736147e-05
"5558","RockDoveHPG_Transcript_31363",395843,"NM_204994.1","annotated",395843,-3.03513886107945,2.81008636819218,30.3699225043335,1.53418045105627e-07,3.93933569868217e-05
"14346","RockDoveHPG_Transcript_14495",426867,"NM_001031401.1","annotated",426867,-5.35094889801034,3.73457556897012,30.4218163152783,1.55786963778866e-07,3.93933569868217e-05
"11714","RockDoveHPG_Transcript_10777",422368,"NM_001006437.1","annotated",422368,1.02762225701264,6.50397176528641,30.3091173525381,1.5746388785139e-07,3.93933569868217e-05
"13397","NODE_165726_length_228_cov_1.3237",424533,"NM_001031276.1","annotated",424533,1.68600137297007,3.06096643940099,30.2446571119629,1.61871324309964e-07,3.99174685748372e-05
"11093","RockDoveHPG_Transcript_12300",421561,"XM_015284364.1","DACT2",421561,1.269372158239,4.13801510408497,30.1221326455175,1.70597290338092e-07,4.14767665607908e-05
"12821","RockDoveHPG_Transcript_15759",423802,"XM_015288604.1","LGI1",423802,1.16385279249272,6.25254456206284,30.0342940053722,1.77145622666268e-07,4.24706630342376e-05
"10810","RockDoveHPG_Transcript_11821",421195,"XM_419273.4","LOC421195",421195,-2.67653966098019,2.69381984720874,29.9232762322818,1.85788509846101e-07,4.39326199584027e-05
"10410","RockDoveHPG_Transcript_12159",420686,"NM_001006366.1","annotated",420686,0.925774345585292,6.48198196058205,29.8837414380616,1.88968705050124e-07,4.40807808996654e-05
"10398","RockDoveHPG_Transcript_15618",420669,"NM_001006364.2","annotated",420669,0.865734297442994,5.12762440231976,29.774890163703,1.98013343897564e-07,4.53646258535733e-05
"16254","RockDoveHPG_Transcript_5370",769286,"XM_015296420.1","SALL4",769286,1.30886986237149,4.36707981150249,29.7548200856093,1.99728395601412e-07,4.53646258535733e-05
"5650","RockDoveHPG_Transcript_26536",395950,"NM_205068.1","annotated",395950,3.2094015356461,3.92724817035967,30.2380235313212,2.06211306594596e-07,4.6220104584276e-05
"15259","RockDoveHPG_Transcript_9404",428461,"XM_426021.5","NME8",428461,3.58361255961234,5.56545930557737,29.6394166786795,2.10347290580097e-07,4.6220104584276e-05
"16494","RockDoveHPG_Transcript_10954",770158,"XM_004949538.2","ELAVL2",770158,1.2481490862751,5.74166022203605,29.6213117209341,2.1152753227655e-07,4.6220104584276e-05
"11187","RockDoveHPG_Transcript_3736",421678,"XM_015284092.1","REPS1",421678,1.34263061703998,6.76060830188754,29.4451526445776,2.28186922621179e-07,4.9237033228585e-05
"12252","RockDoveHPG_Transcript_58193",423079,"XM_015286662.1","HPS5",423079,-2.80055890529228,6.78636237325771,29.4330166403004,2.36809514904652e-07,5.04667388430136e-05
"8086","NODE_116704_length_265_cov_3.45238",417700,"XR_001463298.1","SLC26A3",417700,-2.55198154149308,1.17376257866194,29.2570484065999,2.47451100263549e-07,5.20914743018216e-05
"14632","RockDoveHPG_Transcript_14714",427365,"XM_004949576.2","PLAA",427365,1.44579170829977,5.68189241349704,29.2039508734275,2.53182149596762e-07,5.26557863414375e-05
"5659","RockDoveHPG_Transcript_6344",395961,"XM_015290243.1","NR5A2",395961,-2.05302502209611,4.44396398758061,29.0347611311292,2.72358511986236e-07,5.59696742131714e-05
"15992","RockDoveHPG_Transcript_11866",554283,"XM_015292128.1","MORF4L1",554283,1.58962302955608,7.08977727681664,28.8325835084248,2.97332627258978e-07,6.0383009549935e-05
"10809","RockDoveHPG_Transcript_11887",421194,"XM_015283291.1","AHSA2",421194,-0.894552693370775,6.88414758260854,28.5151971913566,3.4098528814311e-07,6.84428842317019e-05
"13728","RockDoveHPG_Transcript_30410",424959,"XM_004943441.2","MCF2L2",424959,1.80403949133338,6.14361854775697,28.2899903269402,3.76723036208072e-07,7.47470465634914e-05
"1709","RockDoveHPG_Transcript_28352",101752063,"XM_015285074.1","LOC101752063",101752063,4.25218592517847,4.88151819539824,28.2006905659849,3.91607433228457e-07,7.68173580953366e-05
"17076","RockDoveHPG_Transcript_35030",772136,"XM_001235312.4","SDCCAG3",772136,1.46929223073665,3.21019903613876,28.1593359108425,3.97902081219766e-07,7.71751205170292e-05
"1980","NODE_218836_length_199_cov_2",107049701,"XM_015273493.1","LOC107049701",107049701,-3.44448403817237,-1.61613108976514,35.2430390606055,4.24265149234551e-07,8.09768723728331e-05
"5728","RockDoveHPG_Transcript_4770",396043,"XM_415035.5","JAG1",396043,1.19011544708992,5.32041106939989,27.9975326867784,4.26885377472356e-07,8.09768723728331e-05
"15265","RockDoveHPG_Transcript_7493",428478,"NM_001008480.2","annotated",428478,1.70324486521196,5.82141557818253,27.9094219443225,4.43811774350263e-07,8.32725961829809e-05
"9053","RockDoveHPG_Transcript_26959",418912,"NM_001012828.2","N4BP2L2",418912,0.823236032886479,5.61121927054887,27.8609622850096,4.53012719093527e-07,8.40850059891662e-05
"2307","RockDoveHPG_Transcript_14726",107051021,"XM_015274720.1","unclassified transcription discrepancy",107051021,-1.18433299381597,6.79566868453645,27.7094787109393,4.83898821741816e-07,8.88623559670982e-05
"9021","RockDoveHPG_Transcript_3004",418872,"XM_015276325.1","TRIM13",418872,-0.921036552711911,5.47431453015408,27.6845709989891,4.89178315672319e-07,8.88862745803745e-05
"4009","NODE_117089_length_265_cov_6733.29",107055618,"XM_015300786.1","LOC107055618",107055618,-3.7843083640681,4.51060632341767,27.7089425084215,4.99740039662822e-07,8.90403485142292e-05
"8644","RockDoveHPG_Transcript_27201",418405,"XM_004938276.2","ZPLD1",418405,3.09182007575492,1.10299465634197,27.6119963772684,5.04897386490588e-07,8.90403485142292e-05
"1231","NODE_217460_length_201_cov_2.06849",101749387,"XM_004948718.2","SMIM24",101749387,-3.95330481035846,-0.63348681664171,27.5948050350221,5.086954499846e-07,8.90403485142292e-05
"13197","RockDoveHPG_Transcript_22538",424283,"XM_015289935.1","NCKAP5",424283,1.15353644421488,4.27806630586547,27.585968678064,5.10658933084735e-07,8.90403485142292e-05
"13908","RockDoveHPG_Transcript_6123",425514,"NM_001282239.1","annotated",425514,0.855622319102561,6.24684197482902,27.5461008330507,5.19613922576513e-07,8.96957553151577e-05
"12081","RockDoveHPG_Transcript_15628",422847,"XM_004936168.2","ZBTB49",422847,1.67147559477613,5.46249364241426,27.5237942515797,5.24864017898923e-07,8.97049769997149e-05
"7699","RockDoveHPG_Transcript_26258",417185,"NM_001013395.1","annotated",417185,-1.82639224535535,5.2312051260552,27.4547403286327,5.41781168737413e-07,9.16884954386787e-05
"5173","RockDoveHPG_Transcript_23956",395389,"NM_204669.1","annotated",395389,-1.32362855337706,4.5396128423401,27.3869232504201,5.56986801942225e-07,9.33466618944339e-05
"6307","RockDoveHPG_Transcript_12653",415326,"XM_004943633.2","RP11-152F13.10",415326,1.04273079576488,5.85425789729104,27.347039284114,5.66771528638425e-07,9.36876963107012e-05
"5423","RockDoveHPG_Transcript_26037",395683,"NM_001293090.1","annotated",395683,-2.50783002500466,4.43664464754231,27.3497780697264,5.69876498240275e-07,9.36876963107012e-05
"1481","RockDoveHPG_Transcript_74361",101750809,"XR_001466219.1","LOC101750809",101750809,2.15368729964509,0.367150765193029,27.9197012695075,6.23511379026044e-07,0.000101425356430782
"5848","RockDoveHPG_Transcript_13631",396188,"XR_001465667.1","HSP90AB1",396188,-0.998564308400099,11.7440678818094,27.0675510379466,6.40419554842373e-07,0.000101425356430782
"3055","RockDoveHPG_Transcript_9764",107053055,"XM_015284425.1","LOC107053055",107053055,1.80487813030405,3.75897704098308,27.0652963273864,6.41051644293684e-07,0.000101425356430782
"15688","RockDoveHPG_Transcript_12593",429432,"XM_426988.5","KIF3C",429432,-1.05910196778359,5.30920242061304,27.0635121716069,6.41552266645406e-07,0.000101425356430782
"10216","RockDoveHPG_Transcript_1689",420449,"XM_015281608.1","PTPRN2",420449,1.16179332377686,8.41824719244806,27.0408509253584,6.47945522277566e-07,0.000101425356430782
"12268","RockDoveHPG_Transcript_18043",423101,"XM_015286749.1","MUC2",423101,-2.92766925149233,5.10110552031549,27.0781920884599,6.52196417785704e-07,0.000101425356430782
"15239","RockDoveHPG_Transcript_15116",428440,"XM_015281806.1","C3ORF48",428440,-1.91964530882328,5.35637016218893,26.8913720338865,6.93053241218001e-07,0.000106816830802724
"6943","RockDoveHPG_Transcript_14539",416172,"XM_414505.5","SPDL1",416172,1.05910993789619,6.3837893277724,26.8481147041942,7.05005185917503e-07,0.000107612678700451
"8677","NODE_206522_length_208_cov_0.915033",418445,"XM_416656.5","GPA33",418445,-3.56649334009789,-1.27856498931008,27.2927994449987,7.10685052244895e-07,0.000107612678700451
"11347","RockDoveHPG_Transcript_32467",421879,"XM_015284828.1","RAB23",421879,0.88431265536685,5.32375276523894,26.7558827924244,7.34090774853614e-07,0.000110190217004548
"5167","RockDoveHPG_Transcript_28184",395383,"NM_204663.1","annotated",395383,-1.12363207906521,4.1386994559116,26.6599321235671,7.65644116335181e-07,0.000113108575102296
"13134","RockDoveHPG_Transcript_12563",424206,"XM_015289863.1","CCDC108",424206,5.24827712377987,1.68658756221218,26.6457896125247,7.70665202705698e-07,0.000113108575102296
"5282","RockDoveHPG_Transcript_27163",395514,"NM_001038496.1","annotated",395514,0.713759237524349,7.51149915083802,26.6091460918802,7.8289915440926e-07,0.000113108575102296
"6699","RockDoveHPG_Transcript_18024",415855,"XM_414215.5","SPIRE2",415855,-1.74741014684809,4.10602951250777,26.6067364417858,7.83727602557254e-07,0.000113108575102296
"6471","RockDoveHPG_Transcript_14273",415554,"XM_004943913.2","IQCHL",415554,1.31097970816497,3.67427243319902,26.5992844361013,7.86295273564796e-07,0.000113108575102296
"11228","RockDoveHPG_Transcript_19577",421727,"XM_015284480.1","FAM184A",421727,1.25169326130965,6.95690380952059,26.5691078638863,7.96780606320317e-07,0.000113669643192573
"12936","RockDoveHPG_Transcript_30982",423953,"XM_015289058.1","ZRANB1",423953,0.964223274324208,6.60532669660936,26.4632652194848,8.34693181672519e-07,0.000118102243459271
"16474","RockDoveHPG_Transcript_31360",770095,"XM_015285794.1","EVC2",770095,0.863083806667519,5.33716478383934,26.4316334278175,8.46375501183164e-07,0.000118338404444612
"9792","RockDoveHPG_Transcript_27479",419880,"XM_015299020.1","HIPK1",419880,-0.742180512059548,6.17736728377219,26.4217138628999,8.50073117317341e-07,0.000118338404444612
"631","RockDoveHPG_Transcript_54912",100859272,"XM_003642469.3","LOC100859272",100859272,-2.15091177103425,3.64792377424024,26.3167165799452,9.71854381480074e-07,0.000133298305049253
"10880","RockDoveHPG_Transcript_14683",421289,"XM_015278121.1","FBXO11",421289,0.777638111683634,7.35868713949613,26.1147611137276,9.72980328826667e-07,0.000133298305049253
"12885","RockDoveHPG_Transcript_22290",423885,"XM_015288982.1","SORCS1",423885,0.990405708219337,5.5415826481337,26.0460369464883,1.00288684689965e-06,0.000136313643710093
"4614","RockDoveHPG_Transcript_28577",374002,"NM_204182.1","annotated",374002,-2.07989225492115,5.51278278181949,25.9998466205643,1.0262727643335e-06,0.000138402503577538
"9393","RockDoveHPG_Transcript_13842",419342,"NM_001030869.1","annotated",419342,1.10544524651229,3.78058921658286,25.7895318536887,1.12300191685123e-06,0.000149423246337199
"13096","RockDoveHPG_Transcript_40878",424156,"NM_001012594.1","annotated",424156,1.07362896373321,7.01024189132714,25.7848897765574,1.1253054121096e-06,0.000149423246337199
"8469","RockDoveHPG_Transcript_17939",418182,"NM_001039273.1","annotated",418182,3.72193241223673,7.12478923887261,25.7736229153244,1.14578651232951e-06,0.00015098142576971
"8749","RockDoveHPG_Transcript_6550",418528,"XM_416737.5","TMPRSS2",418528,-1.93709799031895,4.29253757418341,25.7235868668554,1.15617932814738e-06,0.000151196723958182
"17139","RockDoveHPG_Transcript_17926",775973,"XM_015283994.1","unclassified transcription discrepancy",775973,1.36224601556535,4.03860607685346,25.7034773311028,1.16649340718537e-06,0.00015139856537469
"6177","RockDoveHPG_Transcript_28083",404671,"XM_015293642.1","IL12B",404671,2.47833919637299,0.310731336060813,25.632705018116,1.20354135503696e-06,0.000154018883367159
"8428","RockDoveHPG_Transcript_18758",418139,"XM_001235264.4","DENND5B",418139,4.04123630794564,1.26672028955992,25.6347137161027,1.20452724218321e-06,0.000154018883367159
"7928","RockDoveHPG_Transcript_35831",417499,"XM_001233395.3","DHX33",417499,-0.710023386954304,4.97906308346391,25.5384635323859,1.25473819983517e-06,0.000158601475089151
"13674","RockDoveHPG_Transcript_11330",424892,"XM_015291601.1","LOC424892",424892,1.19870895854294,4.94902498691891,25.5312591693822,1.25874186578691e-06,0.000158601475089151
"12998","RockDoveHPG_Transcript_25444",424033,"XM_015289245.1","LOC424033",424033,2.15175282164671,1.54838154244942,25.4898852755924,1.28198709690046e-06,0.000160359864251419
"16014","RockDoveHPG_Transcript_16089",723973,"NM_001034813.1","annotated",723973,1.35108909143135,4.87466812083851,25.4132722844715,1.32618880324822e-06,0.00016308932819375
"4134","RockDoveHPG_Transcript_45665",107056095,"XM_015301141.1","LOC107056095",107056095,4.74486165039076,0.843646135461239,25.4143637482234,1.33258122289791e-06,0.00016308932819375
"12695","RockDoveHPG_Transcript_1682",423640,"NM_001199525.1","DNAJC9",423640,0.955733635397211,5.99104642881625,25.4011762228258,1.33330780668181e-06,0.00016308932819375
"14250","RockDoveHPG_Transcript_75792",426630,"XM_015286302.1","unclassified transcription discrepancy",426630,-2.3659318648812,2.1062454816939,25.3871706414516,1.34159915441504e-06,0.00016308932819375
"8935","RockDoveHPG_Transcript_11466",418761,"XM_004938542.2","ARHGEF7",418761,0.765549907238576,6.57672249468253,25.2838976502722,1.40437663257076e-06,0.000169526919100954
"6864","RockDoveHPG_Transcript_13522",416070,"XM_004944636.2","C12H3ORF67",416070,1.12432918576694,4.75916244965805,25.247003227934,1.4275206746356e-06,0.000171124040871942
"6019","RockDoveHPG_Transcript_48459",396393,"NM_205422.1","annotated",396393,-2.39130594398586,4.19429090995661,25.2348113471813,1.43955115759149e-06,0.000171270035615086
"1083","NODE_64874_length_359_cov_1.49342",101748660,"XM_015280537.1","LOC101748660",101748660,5.69540857466219,-0.826126046281223,27.9190333631716,1.44858215732838e-06,0.000171270035615086
"1405","RockDoveHPG_Transcript_39467",101750407,"XM_015288865.1","PLEKHS1",101750407,-2.75498394700727,3.84006638994222,25.1845578967638,1.47524413446396e-06,0.000173235811218483
"17150","RockDoveHPG_Transcript_32030",776038,"XM_015291104.1","SGIP1",776038,2.05434529935844,2.82570174645888,25.1568510970287,1.48571754881176e-06,0.000173286867078302
"12606","RockDoveHPG_Transcript_16038",423524,"XM_004936452.2","C14ORF39",423524,2.08560641549155,4.19807346902965,25.1211064600199,1.50945435003083e-06,0.000174280663742247
"5378","RockDoveHPG_Transcript_1416",395634,"XM_015290958.1","ELAVL4",395634,1.11118563269588,7.57129643340201,25.1136854156195,1.51443051566082e-06,0.000174280663742247
"13484","RockDoveHPG_Transcript_2199",424639,"XM_015291221.1","ZFYVE9",424639,-0.767776866078643,6.36601291474599,25.092885773412,1.52846667735788e-06,0.000174342012105145
"6988","RockDoveHPG_Transcript_11060",416240,"NM_001030615.1","annotated",416240,1.01333684951464,6.46705971850799,25.0830308470309,1.5351631236231e-06,0.000174342012105145
"10230","RockDoveHPG_Transcript_26566",420467,"NM_001030970.1","annotated",420467,0.91906925710077,5.8920183907068,25.0189574628426,1.57943413114411e-06,0.000178197333149083
"14219","RockDoveHPG_Transcript_11902",426544,"XM_015294582.1","FAM46C",426544,1.25355672249831,6.02769750068968,24.9330374994203,1.64084351361765e-06,0.000182723942970062
"15556","RockDoveHPG_Transcript_3129",428984,"XM_426541.4","PDZD8",428984,1.3560861335672,6.34389370403776,24.9213328264858,1.64939489093888e-06,0.000182723942970062
